# Time-averaged data for fix cold1
# TimeStep f_Cold
759000 406.64
760000 407.022
761000 407.637
762000 407.987
763000 408.329
764000 410.744
765000 408.722
766000 407.822
767000 410.311
768000 409.941
769000 409.352
770000 409.186
771000 409.555
772000 410.496
773000 411.513
774000 411.139
775000 410.854
776000 410.888
777000 413.047
778000 414.364
779000 414.896
780000 415.964
781000 418.437
782000 418.954
783000 420.291
784000 421.359
785000 420.13
786000 421.2
787000 422.249
788000 422.21
789000 422.381
790000 423.183
791000 423.023
792000 424.033
793000 423.269
794000 423.869
795000 423.598
796000 425.464
797000 426.598
798000 426.561
799000 426.929
800000 426.418
801000 427.768
802000 429.451
803000 430.459
804000 428.917
805000 429.35
806000 429.56
807000 431.654
808000 431.603
809000 433.823
810000 433.252
811000 434.786
812000 434.625
813000 435.724
814000 436.447
815000 434.586
816000 434.039
817000 434.867
818000 435.801
819000 435.585
820000 436.513
821000 436.343
822000 437.446
823000 438.737
824000 438.874
825000 441.365
826000 442.543
827000 442.545
828000 442.202
829000 445.101
830000 445.45
831000 447.397
832000 447.929
833000 449.914
834000 451.16
835000 452.784
836000 452.814
837000 452.442
838000 452.504
839000 453.157
840000 452.214
841000 452.846
842000 451.667
843000 451.452
844000 452.483
845000 452.549
846000 453.75
847000 453.572
848000 455.243
849000 456.247
850000 456.203
851000 459.094
852000 460.443
853000 460.116
854000 460.008
855000 460.166
856000 462.299
857000 462.962
858000 463.731
859000 465.491
860000 466.156
861000 466.15
862000 466.281
863000 466.217
864000 465.965
865000 466.059
866000 466.189
867000 468.084
868000 469.141
869000 468.779
870000 468.793
871000 469.318
872000 471.748
873000 470.773
874000 471.724
875000 471.074
876000 471.729
877000 472.126
878000 473.142
879000 473.862
880000 473.874
881000 473.193
882000 475.21
883000 476.937
884000 478.174
885000 478.141
886000 477.823
887000 477.511
888000 477.549
889000 480.208
890000 479.495
891000 479.41
892000 480.166
893000 479.212
894000 481.214
895000 483.283
896000 482.392
897000 483.148
898000 484.256
899000 482.765
900000 482.259
901000 483.832
902000 484.933
903000 486.185
904000 487.063
905000 488.608
906000 486.737
907000 486.879
908000 488.996
909000 489.561
910000 491.191
911000 492.838
912000 495.157
913000 494.009
914000 494.505
915000 495.782
916000 495.842
917000 496.594
918000 497.684
919000 496.28
920000 496.787
921000 498.034
922000 500.191
923000 500.418
924000 501.321
925000 502.18
926000 502.898
927000 501.662
928000 501.828
929000 502.531
930000 501.418
931000 503.659
932000 504.578
933000 505.133
934000 506.233
935000 506.95
936000 507.978
937000 510.403
938000 511.345
939000 512.025
940000 512.468
941000 513.472
942000 514.124
943000 515.285
944000 514.299
945000 514.144
946000 513.049
947000 514.924
948000 514.487
949000 516.217
950000 518.85
951000 518.959
952000 519.647
953000 520.996
954000 520.979
955000 520.788
956000 521.387
957000 522.739
958000 523.336
959000 522.651
960000 523.125
