# Time-averaged data for fix hot1
# TimeStep f_Hot
602000 -336.356
603000 -336.367
604000 -336.639
605000 -337.532
606000 -338.035
607000 -338.304
608000 -339.417
609000 -340.054
610000 -340.594
611000 -340.258
612000 -340.345
613000 -340.407
614000 -340.463
615000 -340.642
616000 -341.897
617000 -342.74
618000 -344.5
619000 -345.405
620000 -346.525
621000 -346.305
622000 -347.062
623000 -347.043
624000 -347.486
625000 -348.506
626000 -349.145
627000 -349.512
628000 -350.079
629000 -350.031
630000 -350.129
631000 -350.49
632000 -350.218
633000 -350.599
634000 -351.114
635000 -351.894
636000 -352.958
637000 -353.594
638000 -354.495
639000 -354.271
640000 -354.258
641000 -354.985
642000 -355.214
643000 -356.132
644000 -356.196
645000 -357.254
646000 -357.533
647000 -357.747
648000 -358.386
649000 -358.815
650000 -360.359
651000 -360.449
652000 -360.875
653000 -361.272
654000 -361.419
655000 -362.78
656000 -362.76
657000 -362.052
658000 -362.552
659000 -362.24
660000 -362.834
661000 -363.573
662000 -363.54
663000 -363.828
664000 -364.985
665000 -367.219
666000 -367.507
667000 -367.025
668000 -366.615
669000 -365.505
670000 -365.699
671000 -366.417
672000 -366.542
673000 -366.873
674000 -367.037
675000 -368.438
676000 -368.576
677000 -369.927
678000 -370.941
679000 -370.836
680000 -371.408
681000 -373.01
682000 -372.022
683000 -372.754
684000 -372.718
685000 -373.967
686000 -373.989
687000 -374.57
688000 -374.572
689000 -375.639
690000 -376.422
691000 -377.831
692000 -379.029
693000 -378.859
694000 -378.85
695000 -379.582
696000 -380.585
697000 -381.688
698000 -382.533
699000 -382.037
700000 -381.472
701000 -382.352
702000 -382.583
703000 -382.468
704000 -383.65
705000 -384.458
706000 -386.434
707000 -387.039
708000 -386.312
709000 -386.981
710000 -386.823
711000 -387.672
712000 -386.938
713000 -387.814
714000 -388.521
715000 -388.238
716000 -388.884
717000 -388.796
718000 -390.579
719000 -390.099
720000 -390.176
721000 -391.567
722000 -393.121
723000 -393.002
724000 -394.043
725000 -393.994
726000 -395.181
727000 -395.702
728000 -397.715
729000 -398.136
730000 -397.19
731000 -398.207
732000 -397.745
733000 -398.373
734000 -398.078
735000 -398.406
736000 -399.288
737000 -398.833
738000 -399.05
739000 -399.889
740000 -399.466
741000 -399.253
742000 -400.384
743000 -400.575
744000 -401.131
745000 -401.233
746000 -402.932
747000 -402.709
748000 -403.203
749000 -403.52
750000 -403.701
751000 -406.135
752000 -406.367
753000 -406.642
754000 -406.797
755000 -406.692
756000 -405.938
