# Time-averaged data for fix 4
# TimeStep f_cold f_hot
485000 211.746 -212.026
486000 212.058 -212.842
487000 212.909 -213.445
488000 213.125 -214.123
489000 213.385 -214.662
490000 214.332 -214.663
491000 214.066 -214.395
492000 214.063 -216.168
493000 215.199 -219.494
494000 215.16 -217.894
495000 215.692 -217.609
496000 215.606 -217.233
497000 217.358 -217.512
498000 217.446 -218.629
499000 217.768 -218.352
500000 219.352 -217.921
501000 221.296 -219.233
502000 220.462 -220.315
503000 221.503 -221.125
504000 220.161 -220.599
505000 221.106 -222.381
506000 221.896 -222.211
507000 223.023 -224.132
508000 223.659 -224.133
509000 223.708 -224.727
510000 224.809 -225.613
511000 224.943 -225.836
512000 225.519 -226.838
513000 226.775 -227.832
514000 227.199 -228.1
515000 228.911 -229.508
516000 228.677 -231.227
517000 229.392 -230.585
518000 230.036 -229.703
519000 230.346 -230.135
520000 231.275 -231.662
521000 229.885 -231.174
522000 231.437 -231.152
523000 231.875 -232.588
524000 232.35 -233.923
525000 231.54 -235.127
526000 233.007 -235.237
527000 232.985 -237.68
528000 233.702 -237.422
529000 233.362 -238.455
530000 233.806 -240.054
531000 234.536 -238.512
532000 233.15 -241.094
533000 235.255 -241.809
534000 235.437 -242.221
535000 235.356 -242.371
536000 235.526 -241.816
537000 236.528 -241.996
538000 236.666 -241.75
539000 238.593 -242.994
540000 238.695 -242.839
541000 240.014 -244.509
542000 240.93 -244.064
543000 240.827 -244.457
544000 242.576 -244.065
545000 243.797 -245.942
546000 242.587 -246.903
547000 242.725 -247.935
548000 244.652 -245.738
549000 244.636 -247.785
550000 245.934 -248.464
551000 247.143 -248.946
552000 246.785 -248.85
553000 248.395 -248.85
554000 248.643 -250.475
555000 250.089 -250.056
556000 249.695 -250.556
557000 249.765 -252.134
558000 250.559 -252.396
559000 250.118 -254.714
560000 251.225 -254.403
561000 251.476 -254.686
562000 252.023 -254.662
563000 252.425 -255.811
564000 252.856 -256.096
565000 254.134 -256.587
566000 253.602 -256.424
567000 254.647 -257.803
568000 255.537 -258.243
569000 256.474 -258.715
570000 258.476 -258.471
571000 259.4 -259.472
572000 258.299 -261.151
573000 258.308 -261.785
574000 257.626 -261.885
575000 258.26 -262.896
576000 257.486 -262.512
577000 257.229 -261.952
578000 257.651 -264.534
579000 258.01 -265.069
580000 259.185 -265.66
581000 261.154 -265.428
582000 260.516 -266.324
583000 260.172 -266.784
584000 261.031 -266.566
585000 262.714 -265.414
586000 262.696 -266.892
587000 264.365 -267.266
588000 264.217 -270.176
589000 265.907 -269.667
590000 266.175 -270.014
591000 266.409 -271.751
592000 267.422 -271.869
593000 268.11 -271.583
594000 268.57 -272.161
595000 268.927 -273.047
596000 271.08 -273.592
597000 272.027 -274.434
598000 272.852 -275.353
599000 272.763 -276.093
600000 273.019 -277.17
601000 274.446 -276.517
602000 274.958 -275.984
603000 274.546 -276.363
604000 277.169 -277.603
605000 277.075 -277.923
606000 277.332 -278.527
607000 277.741 -279.453
608000 277.07 -280.15
609000 278.695 -280.392
610000 279.685 -279.52
611000 279.568 -281.007
612000 279.667 -280.817
613000 279.468 -280.658
614000 278.397 -281.335
615000 280.06 -283.121
616000 280.671 -283.399
617000 279.525 -282.863
618000 281.671 -282.384
619000 282.273 -283.074
620000 282.426 -283.213
621000 283.463 -283.449
622000 283.129 -284.373
623000 283.212 -284.629
624000 283.503 -285.874
625000 284.024 -286.921
626000 286.301 -288.459
627000 286.15 -288.297
628000 286.818 -289.945
629000 287.469 -289.965
630000 287.513 -291.097
631000 288.019 -292.425
632000 288.59 -294.048
633000 289.49 -294.41
634000 289.91 -295.475
